latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
46.015993,11.12606,1622.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
07/04/1990,73,2.3,-0.4,16.30,24.0,349,16.4,2.9,93,87,90,0.9
08/04/1990,75,4.1,-1.4,14.40,19.0,74,19.2,3.7,99,66,85,1.3
09/04/1990,75,0.8,-3.6,9.90,18.0,132,20.9,3.4,100,76,90,-1.3
10/04/1990,3,6.2,-5.8,0.00,0.0,353,36.1,6.8,94,32,61,0.8
11/04/1990,73,4.9,-5.0,1.70,6.0,330,33.3,4.7,66,42,53,0.4
12/04/1990,3,3.6,-3.8,0.00,0.0,352,32.1,5.5,68,32,48,0.1
13/04/1990,2,5.9,-5.3,0.00,0.0,256,21.8,3.8,75,37,51,0.6
14/04/1990,75,4.6,-1.5,7.50,12.0,193,27.6,4.5,96,56,74,1.0
15/04/1990,73,2.4,-2.7,9.80,22.0,210,32.4,4.9,98,77,91,-0.4
16/04/1990,71,5.9,-2.8,0.00,0.0,349,26.6,4.2,91,30,60,1.0
17/04/1990,73,3.4,-2.8,5.10,13.0,244,20.3,3.4,85,62,75,0.2
18/04/1990,75,-0.5,-3.6,20.20,23.0,22,21.0,3.6,98,82,90,-2.2
19/04/1990,73,1.5,-4.4,3.10,14.0,360,29.4,4.6,94,59,78,-1.7
20/04/1990,73,2.2,-5.0,2.90,12.0,78,23.0,3.3,98,74,86,-1.5
21/04/1990,71,2.7,-6.1,0.10,1.0,292,19.1,3.9,97,67,84,-1.0
22/04/1990,73,4.0,-4.7,6.30,13.0,179,21.3,3.5,99,72,90,-0.5
23/04/1990,75,0.2,-4.2,15.00,20.0,267,17.6,3.3,99,82,92,-2.2
24/04/1990,71,4.4,-7.4,2.00,6.0,259,22.0,4.1,97,68,86,-0.8
25/04/1990,53,6.6,-4.7,1.40,5.0,271,21.9,3.7,94,50,79,1.2
26/04/1990,2,7.9,-7.5,0.00,0.0,318,19.4,3.3,96,43,70,1.6
27/04/1990,3,10.2,-2.5,0.00,0.0,310,25.4,4.5,79,34,54,4.5
28/04/1990,2,12.3,1.1,0.00,0.0,321,27.3,4.4,68,34,52,7.2
29/04/1990,3,8.7,2.0,0.00,0.0,224,19.7,4.2,88,54,69,5.3
30/04/1990,3,10.8,1.4,0.00,0.0,198,14.9,2.5,87,50,71,5.9
01/05/1990,1,13.8,0.9,0.00,0.0,52,21.9,3.6,84,39,62,8.3
02/05/1990,2,13.6,3.7,0.00,0.0,134,16.5,3.1,88,43,64,9.3
03/05/1990,2,11.2,4.7,0.00,0.0,194,14.8,2.4,90,57,72,8.1
04/05/1990,53,12.4,2.5,2.30,5.0,180,18.3,3.4,94,53,74,7.5
05/05/1990,55,11.1,1.3,3.90,10.0,148,16.8,3.3,95,60,76,6.8
06/05/1990,53,11.3,0.1,2.30,6.0,218,18.5,3.1,97,54,70,6.9
07/05/1990,53,11.3,-1.8,2.00,5.0,250,20.4,3.1,100,54,75,5.9
08/05/1990,61,11.6,2.9,3.40,5.0,255,17.4,2.9,92,59,74,7.2
09/05/1990,61,12.5,-0.4,2.80,8.0,260,18.4,3.4,94,56,77,6.9
10/05/1990,51,13.1,1.8,1.30,7.0,236,22.5,4.0,94,47,68,8.3
11/05/1990,51,12.4,0.7,1.30,7.0,203,30.5,5.1,92,45,63,8.0
12/05/1990,61,10.3,3.9,10.70,11.0,211,25.4,3.8,91,65,80,6.9
13/05/1990,61,11.6,0.3,6.00,8.0,232,23.9,4.6,99,54,79,7.0
14/05/1990,61,12.2,4.2,5.20,8.0,241,18.5,3.4,95,63,77,8.3
15/05/1990,61,13.1,3.6,7.10,14.0,260,17.3,2.9,95,66,81,8.7
16/05/1990,55,14.0,1.4,3.40,7.0,262,18.3,3.1,99,62,82,8.6
17/05/1990,61,13.9,4.8,12.10,15.0,263,18.8,3.1,94,70,81,10.0
