latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.737833,110.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),winddirection_10m_dominant (°),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),temperature_2m_mean (°C)
25/04/1990,3,86,64,76,269,15.7,7.7,0.00,0.0,16.9,6.7,12.4
26/04/1990,3,94,67,79,272,16.7,6.3,0.00,0.0,15.2,4.8,12.5
27/04/1990,0,89,60,74,269,17.3,8.2,0.00,0.0,17.9,7.7,13.3
28/04/1990,1,83,54,68,276,19.9,9.3,0.00,0.0,17.7,8.0,15.1
29/04/1990,3,84,61,70,88,16.4,12.4,0.00,0.0,27.7,12.7,14.3
30/04/1990,0,80,53,66,92,17.6,9.4,0.00,0.0,12.8,5.3,14.0
01/05/1990,1,86,49,69,156,21.1,9.5,0.00,0.0,12.2,4.7,15.8
02/05/1990,2,91,47,66,102,22.4,12.8,0.00,0.0,11.9,4.7,18.1
03/05/1990,2,88,58,72,95,19.1,12.9,0.00,0.0,19.5,8.2,16.4
04/05/1990,3,85,46,65,91,21.0,12.0,0.00,0.0,12.6,4.2,16.7
05/05/1990,2,91,46,67,92,20.7,11.0,0.00,0.0,14.6,6.2,16.5
06/05/1990,0,93,44,65,91,21.3,10.1,0.00,0.0,10.0,3.5,16.7
07/05/1990,2,96,43,66,243,21.3,10.4,0.00,0.0,11.8,2.9,16.8
08/05/1990,2,80,39,61,100,22.0,13.5,0.00,0.0,10.9,2.8,18.1
09/05/1990,2,91,39,62,245,23.2,11.5,0.00,0.0,12.0,4.3,18.4
10/05/1990,1,88,41,60,263,23.2,11.9,0.00,0.0,14.5,5.5,19.0
11/05/1990,2,73,40,54,233,21.8,14.2,0.00,0.0,15.6,5.9,18.8
12/05/1990,51,78,53,67,87,20.0,14.2,0.20,2.0,14.0,5.2,17.2
13/05/1990,3,89,53,72,81,21.4,12.4,0.00,0.0,13.0,4.3,17.5
14/05/1990,3,86,63,75,304,21.2,14.2,0.00,0.0,15.4,5.6,18.2
15/05/1990,3,81,48,66,279,24.1,15.5,0.00,0.0,13.6,3.7,20.1
16/05/1990,2,92,46,69,31,25.4,13.9,0.00,0.0,13.0,4.1,20.4
17/05/1990,3,89,49,68,315,25.5,15.1,0.00,0.0,14.4,4.6,21.0
18/05/1990,55,96,57,76,29,24.0,15.3,2.70,6.0,14.7,3.5,19.8
19/05/1990,61,97,80,90,60,19.0,13.9,8.10,14.0,15.4,6.2,16.6
20/05/1990,53,94,61,75,85,20.4,14.9,4.40,11.0,24.0,11.2,17.8
21/05/1990,53,80,59,71,95,21.7,15.5,2.00,5.0,14.9,6.1,18.5
22/05/1990,61,89,65,83,90,21.8,15.7,8.10,14.0,14.3,5.2,18.1
23/05/1990,51,87,61,76,75,22.5,15.9,0.20,1.0,13.7,4.7,19.1
24/05/1990,55,90,74,83,71,20.7,16.7,7.80,18.0,29.1,15.1,18.5
25/05/1990,53,96,61,78,275,21.2,14.6,2.70,6.0,19.4,6.9,18.2
26/05/1990,53,85,49,68,92,19.5,15.6,2.00,8.0,25.1,11.7,17.3
27/05/1990,2,74,45,58,70,19.6,14.2,0.00,0.0,16.1,6.9,17.0
