latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation,,,,,,,
45.51845,10.879121,234.0,3600,Europe/Berlin,GMT+1,,,,,,,
,,,,,,,,,,,,
time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),precipitation_hours (h),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),relative_humidity_2m_max (%),relative_humidity_2m_min (%),relative_humidity_2m_mean (%),temperature_2m_mean (°C)
23/03/1990,61,20.5,10.8,2.20,4.0,342,15.6,4.3,80,54,68,15.3
24/03/1990,3,17.4,10.9,0.00,0.0,97,16.4,5.9,88,58,73,14.1
25/03/1990,55,14.6,6.6,6.10,11.0,298,25.4,9.1,98,66,81,11.1
26/03/1990,73,6.1,3.8,14.90,20.0,48,34.6,9.8,87,65,76,5.1
27/03/1990,73,7.4,2.7,24.60,23.0,28,28.3,8.8,94,70,84,5.0
28/03/1990,53,9.1,3.4,6.00,18.0,57,25.5,9.0,92,77,85,6.4
29/03/1990,3,14.6,0.2,0.00,0.0,2,17.8,5.5,95,43,69,8.2
30/03/1990,53,15.3,4.2,1.50,5.0,70,17.4,5.9,88,48,67,10.5
31/03/1990,2,18.0,2.3,0.00,0.0,284,13.8,4.7,93,48,69,11.6
01/04/1990,1,18.8,3.7,0.00,0.0,94,14.6,5.4,91,50,70,12.4
02/04/1990,51,16.4,7.7,0.30,2.0,87,13.8,5.2,86,56,70,12.5
03/04/1990,53,12.4,7.5,4.70,19.0,81,21.7,8.4,96,75,87,10.1
04/04/1990,53,15.3,8.5,4.10,17.0,319,14.4,4.5,94,71,86,11.2
05/04/1990,53,13.2,8.5,2.30,9.0,85,19.4,7.3,96,66,84,10.3
06/04/1990,61,12.3,5.7,12.30,13.0,60,21.9,9.7,96,73,88,9.6
07/04/1990,63,12.3,8.4,19.70,22.0,352,19.4,7.2,98,83,89,10.8
08/04/1990,55,15.0,6.3,4.90,16.0,82,21.5,7.5,98,64,82,10.7
09/04/1990,55,8.8,6.4,7.20,15.0,68,31.0,12.6,85,69,75,7.6
