code,shortname,elevation,latitude,longitude,startdate,enddate
T0136,Trento (Ufficio),218,46.09002,11.11796,1992-06-03,1999-12-31
T0088,Tres,838,46.32065,11.101437,1993-11-18,
T0109,Val Cadino (Segheria Canton),964,46.245819,11.414535,1926-09-01,2020-06-18
T0413,Val D'Ambiez,1888,46.133428,10.881405,2011-11-18,
T0177,Val di Breguzzo (Ponte Arno'),1148,46.032015,10.640606,1975-01-01,
T0166,Val Di Genova (O.P. Enel),900,46.169604,10.727251,1975-01-01,2012-09-05
T0433,Val Genova (Malga Caret),1418,46.18142,10.634818,2011-10-06,
T0027,Val Noana (Diga),1030,46.138717,11.839286,1981-01-01,
T0432,Val Sella (Montagnola),956,46.006134,11.379319,2007-05-24,
T0114,Valda,855,46.209157,11.267122,1994-03-30,2009-10-06
T0149,Vallarsa (Diga Di Speccheri),875,45.76847,11.134972,1967-01-01,2013-01-22
T0150,Vallarsa (Foxi),665,45.790139,11.110993,1922-08-01,2007-11-29
T0363,Vallarsa (Malga Boffetal),1550,45.750643,11.163452,1998-02-14,2009-07-08
T0381,Vallarsa (Parrocchia),737,45.780307,11.122849,2012-04-19,
T0364,Vermiglio (Capanna Presena),2715,46.228822,10.578715,2000-07-17,
T0416,Vermiglio (Masi di Palu'),1575,46.284146,10.694689,2011-10-19,2022-09-13
T0243,Vetriolo,1490,46.04234,11.305974,1935-01-01,1960-12-30
T0228,Vigo Di Fassa (Stalon De Vael),2040,46.424419,11.636119,2002-08-30,2021-08-19
T0326,Vigolo Vattaro (frana),815,46.009208,11.181368,2004-04-22,2008-06-10
T0325,Villa Rendena (frana),840,46.06065,10.722841,2003-12-18,2013-05-29
T0411,Villa Rendena (Rifugio Gork),1203,46.080894,10.660678,2011-10-13,
T0101,Zambana (Idrovora),205,46.156797,11.079051,1935-01-01,
T0059,Ziano Di Fiemme (Malga Sadole),1608,46.260619,11.597609,2012-05-24,
T0412,Zuclo (Malga Casinot),1695,45.971281,10.742036,2011-11-26,
